f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,label
0.0,0.0,-0.0,0.0,1.0,0.01,-0.02,0.11,0.1,0.13,1.85,0.08,0
0.0,0.0,-0.0,0.0,1.0,0.01,-0.02,0.11,0.1,0.13,1.85,0.08,0
0.0,0.0,-0.0,0.0,1.0,0.01,-0.02,0.11,0.1,0.13,1.85,0.08,0
0.0,0.0,-0.0,0.0,1.0,0.01,-0.02,0.11,0.1,0.13,1.85,0.08,0
0.0,0.0,-0.0,0.0,1.0,0.01,-0.02,0.11,0.1,0.13,1.85,0.08,0
0.0,0.0,-0.0,0.0,1.0,0.01,-0.02,0.11,0.1,0.13,1.85,0.08,0
0.0,0.0,-0.0,0.0,1.0,0.01,-0.02,0.11,0.1,0.13,1.85,0.08,0
0.0,0.0,-0.0,0.0,1.0,0.01,-0.02,0.11,0.1,0.13,1.85,0.08,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.06,0.09,0.08,0.09,1.82,0.07,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.06,0.09,0.08,0.09,1.82,0.07,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.06,0.09,0.08,0.09,1.82,0.07,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.06,0.09,0.08,0.09,1.82,0.07,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.06,0.09,0.08,0.09,1.82,0.07,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.06,0.09,0.08,0.09,1.82,0.07,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.06,0.09,0.08,0.09,1.82,0.07,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.06,0.09,0.08,0.09,1.82,0.07,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.02,0.09,0.11,0.12,1.81,0.07,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.02,0.09,0.11,0.12,1.81,0.07,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.02,0.09,0.11,0.12,1.81,0.07,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.02,0.09,0.11,0.12,1.81,0.07,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.02,0.09,0.11,0.12,1.81,0.07,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.02,0.09,0.11,0.12,1.81,0.07,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.02,0.09,0.11,0.12,1.81,0.07,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.02,0.09,0.11,0.12,1.81,0.07,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.04,0.09,0.09,0.1,1.81,0.08,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.04,0.09,0.09,0.1,1.81,0.08,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.04,0.09,0.09,0.1,1.81,0.08,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.04,0.09,0.09,0.1,1.81,0.08,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.04,0.09,0.09,0.1,1.81,0.08,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.04,0.09,0.09,0.1,1.81,0.08,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.04,0.09,0.09,0.1,1.81,0.08,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.04,0.09,0.09,0.1,1.81,0.08,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.01,0.09,0.13,0.1,1.8,0.07,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.01,0.09,0.13,0.1,1.8,0.07,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.01,0.09,0.13,0.1,1.8,0.07,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.01,0.09,0.13,0.1,1.8,0.07,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.01,0.09,0.13,0.1,1.8,0.07,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.01,0.09,0.13,0.1,1.8,0.07,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.01,0.09,0.13,0.1,1.8,0.07,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.01,0.09,0.13,0.1,1.8,0.07,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.07,0.09,0.07,0.11,1.81,0.08,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.07,0.09,0.07,0.11,1.81,0.08,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.07,0.09,0.07,0.11,1.81,0.08,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.07,0.09,0.07,0.11,1.81,0.08,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.07,0.09,0.07,0.11,1.81,0.08,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.07,0.09,0.07,0.11,1.81,0.08,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.07,0.09,0.07,0.11,1.81,0.08,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.07,0.09,0.07,0.11,1.81,0.08,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.07,0.09,0.07,0.11,1.81,0.08,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.07,0.11,0.09,0.11,1.81,0.07,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.07,0.11,0.09,0.11,1.81,0.07,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.07,0.11,0.09,0.11,1.81,0.07,0
0.0,0.0,-0.0,0.0,1.0,0.0,-0.07,0.11,0.09,0.11,1.81,0.07,0
